DAYS = 35
TRUCK_CAPACITY = 18
TRUCK_MAX_DISTANCE = 1060
TRUCK_DISTANCE_COST = 10000
TRUCK_DAY_COST = 1000
TRUCK_COST = 100000
TECHNICIAN_DISTANCE_COST = 100
TECHNICIAN_DAY_COST = 1000
TECHNICIAN_COST = 1000

MACHINES = 5
    1     4   360
    2     3   100
    3     5   670
    4     7   490
    5     5   875

LOCATIONS = 163
    1   541   360
    2   360   554
    3   246   337
    4   295   502
    5   287   258
    6   450   371
    7   281   526
    8   214   339
    9   535   262
   10   411   407
   11   565   693
   12   283   550
   13   757   618
   14   297   573
   15   573   166
   16   179   376
   17   421   628
   18   355   231
   19   171   359
   20   297   497
   21   355   436
   22   486   522
   23   275   301
   24   225   361
   25   177   227
   26   330   517
   27   517   311
   28   592   776
   29   201   269
   30   356   372
   31   311   491
   32   375   306
   33   486    21
   34   756   468
   35    49   210
   36   111   164
   37   239   473
   38   372   431
   39   473   626
   40   620   533
   41   540   424
   42   288   598
   43    98   270
   44   326   262
   45   752   577
   46   509    92
   47   503   716
   48   288   311
   49   550   425
   50   290   311
   51   429   412
   52   284   639
   53   580   437
   54   268   470
   55   517   311
   56   316   471
   57   345   403
   58   201   378
   59   491   307
   60   665   722
   61   630   734
   62   417   163
   63   333   414
   64   591   351
   65   666   719
   66   342   287
   67   678   709
   68   275   572
   69   580   389
   70   365   569
   71   387   255
   72   365   390
   73   372   424
   74   231   359
   75   487   510
   76   287   599
   77   286   475
   78   207   376
   79   299   266
   80   190   368
   81   266   305
   82   305   472
   83   235   433
   84   562   493
   85   270   466
   86   502   718
   87   310   444
   88   286   452
   89   201   338
   90   562   696
   91   201   313
   92   359   397
   93   203   345
   94   232   406
   95   182   334
   96   367   284
   97   704   557
   98   380   238
   99   244   352
  100   678   483
  101   306   355
  102   566   378
  103   400   264
  104   220   365
  105   261   480
  106   502    76
  107   243   418
  108   234   409
  109   321   466
  110   443   508
  111   289   560
  112   348   233
  113   311   386
  114   256   466
  115   526    95
  116   450   328
  117   234   321
  118   251   469
  119   335   456
  120   199   379
  121   330   478
  122   292   463
  123   541   326
  124   435   511
